area,region,ni_p50,ox_p50,ph_p50,ts_min,ts_p50,ts_max,latitude,longitude,area_id
Yarra Catchment,"Plenty River at Kurrak Road, South Morang",0.7,8,0.05,6,10,17,-37.6513392,145.0891037,YarraCatchment
Yarra Catchment,"Plenty River at Henty Road, View Bank",0.9,7,0.07,8,19,61,-37.4713077,144.7851531,YarraCatchment
Yarra Catchment,"Ruffey Creek at Parker Street, Templestowe",1.4,9,0.05,1,3,16,-37.757084,145.1228573,YarraCatchment
Yarra Catchment,"Scotchman Creek at Golfers Drive, Malvern East",1.3,10,0.06,4,6,19,-37.87672,145.0797968,YarraCatchment
Yarra Catchment,"Shepherd Creek at Healesville-Koo Wee Rup Rd, Yellingbo",0.5,10,0.02,6,12,33,-37.8343126,145.5167049,YarraCatchment
Yarra Catchment,"Starvation Creek upstream Woods Point Road, McMahons Creek",0.4,10,0.01,1,4,8,-37.7252602,145.7596704,YarraCatchment
Yarra Catchment,"Steels Creek at Yarra Glen-Healesville Road, Yarra Glen",0.6,9,0.03,1,4,49,-37.5397657,145.3894499,YarraCatchment
Yarra Catchment,"Stringybark Creek at Melba Highway, Yering",0.6,7,0.02,4,9,17,-37.6823451,145.378051,YarraCatchment
Yarra Catchment,"Wandin Yallock Creek at Killara Road, Gruyere",1.1,9,0.02,1,6,14,-37.7387411,145.4590299,YarraCatchment
Yarra Catchment,"Watsons Creek at Henley Road, Kangaroo Road",0.3,7,0.01,1,2,6,-37.4713077,144.7851531,YarraCatchment
Yarra Catchment,"Watts River at Healesville-Kinglake Road, Healesville",1.0,9,0.02,3,7,70,-37.65103910000001,145.4999089,YarraCatchment
Yarra Catchment,"Woori Yallock Creek at Macclesfield-Woori Yallock Road, Yellingbo",0.9,9,0.03,6,11,48,-37.8914151,145.5242997,YarraCatchment
Yarra Catchment,"Woori Yallock Creek at Warburton Highway, Woori Yallock",1.0,9,0.04,12,24,37,-37.7799931,145.5303527,YarraCatchment
Yarra Catchment,"Yarra River at McKenzie-King Drive, Millgrove",0.4,10,0.02,1,8,18,-37.7525496,145.6576584,YarraCatchment
Yarra Catchment,"Yarra River at Don Road, Launching Place",0.6,10,0.02,3,10,29,-37.768258,145.5857101,YarraCatchment
Yarra Catchment,"Yarra River at Maroondah Hwy, Healesville",0.6,9,0.03,11,16,22,-37.6475483,145.5335877,YarraCatchment
Yarra Catchment,"Yarra River at Spadonis Reserve, Coldstream",0.8,8,0.04,11,18,31,-37.724602,145.379623,YarraCatchment
Yarra Catchment,"Yarra River at Kangaroo Ground-Warrandyte Road, Warrandyte",0.7,9,0.03,6,10,20,-37.7366885,145.2225068,YarraCatchment
Yarra Catchment,"Yarra River at Chandler Hwy, Kew",0.9,8,0.06,13,22,39,-37.7901134,145.0268242,YarraCatchment
Yarra Catchment,"Yarra River at Princes Bridge, Melbourne",0.9,8,0.06,9,15,44,-37.8193123,144.9683058,YarraCatchment
